nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Option Trading for Rookies: Understand Options Completely,150.0,2893,65,62,Mixto,4.8,2.0,Negocios y Finanzas,Paid,2016-08-10,2016
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150.0,2877,103,81,Principiante,4.8,4.5,Negocios y Finanzas,Paid,2016-04-26,2016
Learn Basic Concepts of Economics Step by Step - Complete,150.0,2801,6,25,Principiante,4.8,1.5,Negocios y Finanzas,Paid,2015-08-16,2015
Complete GST Course & Certification - Grow Your CA Practice,75.0,2792,923,274,Mixto,4.8,39.0,Negocios y Finanzas,Paid,2017-03-09,2017
Forex - Elliott Wave Theory with Fibonacci.,20.0,2769,54,32,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2015-06-19,2015
Introduction to Value Growth Investing,0.0,2768,83,10,Mixto,4.8,1.0,Negocios y Finanzas,Free,2016-12-20,2016
Cómo ganar dinero invirtiendo en bolsa,0.0,2740,306,10,Intermedio,4.8,2.0,Negocios y Finanzas,Free,2016-04-02,2016
Project Funding Modelling (for Professionals),20.0,2736,3,8,Intermedio,4.8,1.5,Negocios y Finanzas,Paid,2014-12-29,2014
[Value Investing] Where White People Keep Their Money,200.0,2715,70,20,Mixto,4.8,4.0,Negocios y Finanzas,Paid,2016-05-25,2016
The Blueprint for Successful Stock Trading,120.0,2697,331,15,Intermedio,4.8,1.0,Negocios y Finanzas,Paid,2015-08-13,2015
Trading Economic Indicators - Complete Trading System,50.0,2692,25,25,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2015-09-17,2015
Technical Analysis 101: Master the Basics of Trading,95.0,2688,61,50,Principiante,4.8,2.0,Negocios y Finanzas,Paid,2015-05-13,2015
IAS 1-Presentation of Financial Statements,0.0,2674,81,8,Mixto,4.8,1.0,Negocios y Finanzas,Free,2014-10-03,2014
The Complete Chart Pattern Trading Course: A Proven Approach,200.0,2666,115,52,Principiante,4.8,4.0,Negocios y Finanzas,Paid,2015-08-10,2015
Financial Management Capital Market Instruments,25.0,2650,5,17,Intermedio,4.8,1.0,Negocios y Finanzas,Paid,2015-02-24,2015
Excel 4 Accounting & Bookkeeping - Master Lookup Functions,35.0,2638,140,12,Mixto,4.8,1.0,Negocios y Finanzas,Paid,2016-02-13,2016
Learn How to Start Small and Make It Big In Small-Cap Stocks,50.0,2635,13,29,Principiante,4.8,2.0,Negocios y Finanzas,Paid,2016-02-08,2016
